Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Cluster
Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),6/123,0.000607115897252585,0.0394803180334954,0,0,6.2408990186768,46.2250337511299,CDH3;ERBB2;HMGB2;PRKCA;LAMC1;RTN4,1
Negative Regulation Of Growth (GO:0045926),6/124,0.000633615432562158,0.0394803180334954,0,0,6.18769617074702,45.5666175973208,GJA1;PPP2R1A;TMPRSS4;ENO1;TP53;RTN4,1
Central Nervous System Development (GO:0007417),9/283,0.000667630548571489,0.0394803180334954,0,0,4.04035256851673,29.5421513599324,C3;NCKAP1;COL4A1;TUBGCP2;SLC2A1;PLXNB2;LSR;HSPG2;RTN4,1
Regulation Of Cell Growth (GO:0001558),8/227,0.000683665477912868,0.0394803180334954,0,0,4.47785388127854,32.6347863835331,GJA1;PPP2R1A;ERBB2;TNC;ENO1;S100A9;TP53;RTN4,1
Renal Filtration Cell Differentiation (GO:0061318),2/5,0.000689844266714301,0.0394803180334954,0,0,79.6345381526105,579.663361782624,CD24;PROM1,1
Glomerular Epithelial Cell Differentiation (GO:0072311),2/5,0.000689844266714301,0.0394803180334954,0,0,79.6345381526105,579.663361782624,CD24;PROM1,1
Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042985),2/5,0.000689844266714301,0.0394803180334954,0,0,79.6345381526105,579.663361782624,ITM2B;ITM2C,1
Positive Regulation Of Cell Adhesion (GO:0045785),5/88,0.000879936280221086,0.048494266109962,0,0,7.29876561460566,51.351641035005,TPM1;ERBB2;SAA1;PRKCA;LAMC1,1
Tight Junction Assembly (GO:0120192),4/53,0.00102082072729906,0.0494003089405673,0,0,9.84718765555002,67.8190421217337,CLDN10;CLDN3;RAB13;LSR,1
Protein Homotetramerization (GO:0051289),4/53,0.00102082072729906,0.0494003089405673,0,0,9.84718765555002,67.8190421217337,SOD2;CLU;GLS;CRYZ,1
Desmosome Organization (GO:0002934),2/6,0.00102905413382087,0.0494003089405673,0,0,59.7228915662651,410.840652077024,JUP;PRKCA,1
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),10/364,0.00104306602641316,0.0494003089405673,0,0,3.48244296645927,23.9090283942764,GJA1;CDH3;CLDN3;ANXA2;HDAC1;TNC;ERP29;CLU;TP53;WARS1,1
Apical Junction Assembly (GO:0043297),4/54,0.00109533975496204,0.0494003089405673,0,0,9.64975609756098,65.7794025060077,CLDN10;CLDN3;RAB13;CTNNA1,1
Cytoplasmic Translation (GO:0002181),5/93,0.00112877049998608,0.0494003089405673,0,0,6.88232013385388,46.7077347684952,EIF4A1;RPL31;RPL29;RPL18;RPL19,1
Positive Regulation Of Cellular Component Biogenesis (GO:0044089),5/93,0.00112877049998608,0.0494003089405673,0,0,6.88232013385388,46.7077347684952,VCP;CLDN3;PRKCA;CLU;WARS1,1
Positive Regulation Of Peptidase Activity (GO:0010952),3/25,0.00116883430996422,0.0496921558064787,0,0,16.3719008264463,110.53895427828,VCP;NCSTN;CLDN3,1
Regulation Of Programmed Cell Death (GO:0043067),7/195,0.00132691537081497,0.0548458353270187,0,0,4.54301572617946,30.0970171634426,VCP;MECOM;DAPK1;ACTN4;CLU;TP53;RTN4,1
Negative Regulation Of Cell Population Proliferation (GO:0008285),10/379,0.00141053644934386,0.0567264388276666,0,0,3.33830743370725,21.9119328810876,COL18A1;IFITM1;BTG2;CLDN3;ADAMTS1;CXCL1;HES1;SOD2;TP53;WARS1,1
Positive Regulation Of Cellular Process (GO:0048522),13/594,0.00156313264081505,0.0612089834087578,0,0,2.7790017211704,17.9553062207576,SMARCE1;HDAC1;TPM1;PRKCA;LAMC1;ARID1A;KITLG;CDH3;EPCAM;ERBB2;SAA1;HES1;S100A9,1
Hemopoiesis (GO:0030097),5/101,0.00163040889885736,0.0622063702948653,0,0,6.30623721881391,40.4792601920652,KITLG;MECOM;PBXIP1;TP53;ZFP36L2,1
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),4/61,0.00172709637729402,0.0642479852353374,0,0,8.46170303808301,53.8275472514904,ENO1;PTTG1IP;SOD2;CLU,1
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)",2/8,0.00189976958912758,0.0673061225862342,0,0,39.8112449799197,249.458163527026,MUC1;TP53,1
Negative Regulation Of Glycoprotein Biosynthetic Process (GO:0010561),2/8,0.00189976958912758,0.0673061225862342,0,0,39.8112449799197,249.458163527026,ITM2B;ITM2C,1
"DNA Damage Response, Signal Transduction Resulting In Transcription (GO:0042772)",2/9,0.00242910096206067,0.0803222718121396,0,0,34.1222030981067,205.423649448639,MUC1;TP53,1
Positive Regulation Of ATP Metabolic Process (GO:1903580),2/9,0.00242910096206067,0.0803222718121396,0,0,34.1222030981067,205.423649448639,VCP;ENO1,1
Myelin Maintenance (GO:0043217),2/9,0.00242910096206067,0.0803222718121396,0,0,34.1222030981067,205.423649448639,DEGS1;CLU,1
Regulation Of Apoptotic Process (GO:0042981),14/705,0.0025559997645627,0.0808261639223294,0,0,2.51822128667281,15.0320481286234,VCP;DAPK1;HDAC1;ANXA5;ACTN4;CLU;FSTL1;RTN4;RHOB;BABAM2;ERBB2;TNFSF10;TP53;LTF,1
Epithelial Tube Morphogenesis (GO:0060562),3/33,0.00263964412111808,0.0808261639223294,0,0,12.0012121212121,71.2525305806008,COL4A1;HES1;RHOB,1
Positive Regulation Of Cellular Component Organization (GO:0051130),5/113,0.0026660479900076,0.0808261639223294,0,0,5.6021358782095,33.2047448048911,VCP;CLDN3;ANXA2;CLU;WARS1,1
Response To Molecule Of Bacterial Origin (GO:0002237),4/69,0.00271647000078585,0.0808261639223294,0,0,7.4172607879925,43.8243070818362,SLPI;HMGB2;CD24;S100A9,1
Positive Regulation Of Cell Differentiation (GO:0045597),8/283,0.00275898572600203,0.0808261639223294,0,0,3.55581818181818,20.9540530766816,SMARCE1;IFITM1;GJA1;KITLG;TACSTD2;LAMC1;ARID1A;LTF,1
Neutrophil Chemotaxis (GO:0030593),4/70,0.00286250640846204,0.0808261639223294,0,0,7.30450849963045,42.775623034631,KLF5;SAA1;CXCL1;S100A9,1
Response To Estrogen (GO:0043627),3/34,0.00287738558122914,0.0808261639223294,0,0,11.6134897360704,67.9490556394174,SLC34A2;KRT19;CD24,1
Regulation Of Melanin Biosynthetic Process (GO:0048021),2/10,0.00301965451741475,0.0808261639223294,0,0,29.855421686747,173.239453591739,CDH3;MFSD12,1
Positive Regulation Of Bone Resorption (GO:0045780),2/10,0.00301965451741475,0.0808261639223294,0,0,29.855421686747,173.239453591739,SPP1;PRKCA,1
Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042984),2/10,0.00301965451741475,0.0808261639223294,0,0,29.855421686747,173.239453591739,ITM2B;ITM2C,1
Cellular Response To Oxidative Stress (GO:0034599),5/117,0.00309837818387904,0.0808261639223294,0,0,5.40096406660824,31.2007022364629,DAPK1;TPM1;SOD2;TP53;ZFP36L2,1
Positive Regulation Of Angiogenesis (GO:0045766),5/119,0.00333252574116274,0.0808261639223294,0,0,5.30567215584975,30.2636854603376,PKM;JUP;PRKCA;JAK1;RHOB,1
Granulocyte Chemotaxis (GO:0071621),4/73,0.00333268477096155,0.0808261639223294,0,0,6.9858607281725,39.8471893539091,KLF5;SAA1;CXCL1;S100A9,1
Protein Tetramerization (GO:0051262),4/73,0.00333268477096155,0.0808261639223294,0,0,6.9858607281725,39.8471893539091,SOD2;CLU;GLS;CRYZ,1
Generation Of Neurons (GO:0048699),6/172,0.00336265493897996,0.0808261639223294,0,0,4.38777331548416,24.9884763417374,TUBGCP2;ERBB2;DCDC2;PLXNB2;RTN4;ITM2C,1
Regulation Of mRNA Stability (GO:0043488),4/74,0.00350040572209051,0.0808261639223294,0,0,6.88571428571429,38.9378631880705,PRKCA;VIM;PUM1;ZFP36L2,1
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),6/174,0.00355894810178276,0.0808261639223294,0,0,4.33509700176367,24.4425351786891,CDH3;NNMT;ERBB2;PLXNB2;VIM;CLU,1
Gene Expression (GO:0010467),8/296,0.00362352987584891,0.0808261639223294,0,0,3.39305555555556,19.0700126159265,RPL31;HNRNPA2B1;ADAR;HNRNPH3;RPL29;RPL18;WARS1;RPL19,1
Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705),3/37,0.00366809217061815,0.0808261639223294,0,0,10.5871657754011,59.3737107195104,GJA1;TPM1;SOD2,1
Regulation Of Homotypic Cell-Cell Adhesion (GO:0034110),2/11,0.00367037677176558,0.0808261639223294,0,0,26.5368139223561,148.804148061216,PRKCA;JAK1,1
Podocyte Differentiation (GO:0072112),2/11,0.00367037677176558,0.0808261639223294,0,0,26.5368139223561,148.804148061216,CD24;PROM1,1
Macrophage Chemotaxis (GO:0048246),2/11,0.00367037677176558,0.0808261639223294,0,0,26.5368139223561,148.804148061216,KLF5;SAA1,1
Translation (GO:0006412),7/234,0.00369366878139677,0.0808261639223294,0,0,3.75502777245738,21.032417726989,MRPL53;RPL31;MRPL19;RPL29;RPL18;WARS1;RPL19,1
Extracellular Matrix Organization (GO:0030198),6/176,0.00376364136669056,0.0811637442555877,0,0,4.28366013071895,23.9129687000547,COL18A1;MMP7;COL4A2;COL4A1;ADAMTS1;LAMC1,1
Regulation Of Cell Motility (GO:2000145),5/123,0.00383861858327917,0.0815980635988486,0,0,5.12477903712176,28.5073148078022,TNC;TACSTD2;PLXNB2;TMSB10;RHOB,1
Neutrophil Migration (GO:1990266),4/77,0.00403781318192568,0.0846234649958509,0,0,6.60173738723689,36.3891199349122,KLF5;SAA1;CXCL1;S100A9,1
Negative Regulation Of Cell Growth (GO:0030308),5/125,0.0041112950532813,0.0846464729761351,0,0,5.03885480572597,27.6835549809633,GJA1;PPP2R1A;ENO1;TP53;RTN4,1
Retina Homeostasis (GO:0001895),3/39,0.00426185219913302,0.0846464729761351,0,0,9.9979797979798,54.5694878801368,PIGR;CDH3;LTF,1
Negative Regulation Of Stem Cell Differentiation (GO:2000737),2/12,0.0043802274322328,0.0846464729761351,0,0,23.8819277108434,129.694501314714,HES1;ZFP36L2,1
Cellular Component Maintenance (GO:0043954),2/12,0.0043802274322328,0.0846464729761351,0,0,23.8819277108434,129.694501314714,CLDN3;ITGA3,1
Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618),2/12,0.0043802274322328,0.0846464729761351,0,0,23.8819277108434,129.694501314714,MUC1;TP53,1
Macrophage Migration (GO:1905517),2/12,0.0043802274322328,0.0846464729761351,0,0,23.8819277108434,129.694501314714,KLF5;SAA1,1
Endothelial Cell Migration (GO:0043542),3/40,0.00457929369929785,0.0862530256272811,0,0,9.72727272727273,52.3931385668786,RAB13;FSTL1;S100A9,1
Positive Regulation Of Stem Cell Population Maintenance (GO:1902459),3/40,0.00457929369929785,0.0862530256272811,0,0,9.72727272727273,52.3931385668786,SMARCE1;HDAC1;ARID1A,1
Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090199),3/41,0.00491068048700766,0.0902110193168815,0,0,9.47081339712919,50.3500901851339,TNFSF10;CLU;TP53,1
Stem Cell Differentiation (GO:0048863),3/41,0.00491068048700766,0.0902110193168815,0,0,9.47081339712919,50.3500901851339,EPCAM;PUM1;TP53,1
Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768),2/13,0.0051481792506046,0.0922950689746945,0,0,21.7097480832421,114.391097841505,PIGR;CD24,1
Membrane Protein Intracellular Domain Proteolysis (GO:0031293),2/13,0.0051481792506046,0.0922950689746945,0,0,21.7097480832421,114.391097841505,NCSTN;MMP7,1
Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),3/43,0.00561595848769471,0.0992688782758163,0,0,8.99636363636364,46.6204428803253,C3;ANXA2;CLU,1
Protein Localization To Membrane (GO:0072657),6/192,0.00572957304766515,0.0992688782758163,0,0,3.91198725607328,20.1941252104008,GAK;PIGR;JUP;RAB13;FLOT2;AGRN,1
Positive Regulation Of Amide Metabolic Process (GO:0034250),4/85,0.00573731420142487,0.0992688782758163,0,0,5.94730502860584,30.6926382079295,ERBB2;PLXNB2;VIM;CLU,1
Regulation Of Cell Differentiation (GO:0045595),6/193,0.00587328999790724,0.100150191009321,0,0,3.89086947910477,19.9887206762828,SMARCE1;PPP2R1A;HDAC1;FLOT2;CD24;ARID1A,1
Regulation Of ATP Biosynthetic Process (GO:2001169),2/14,0.00597321788178741,0.100150191009321,0,0,19.8995983935743,101.89528640006,VCP;ENO1,1
Bone Development (GO:0060348),3/44,0.00599016599450911,0.100150191009321,0,0,8.77649667405765,44.9149166960335,GJA1;TP53;LTF,1
Positive Regulation Of mRNA Catabolic Process (GO:0061014),3/45,0.00637895164582224,0.105465333877594,0,0,8.56709956709957,43.304559507076,BTG2;PUM1;ZFP36L2,1
Myofibril Assembly (GO:0030239),3/46,0.00678245620644656,0.108502771406092,0,0,8.36744186046512,41.7821178165812,KRT19;TPM1;OBSL1,1
Positive Regulation Of Sprouting Angiogenesis (GO:1903672),2/15,0.0068543417420515,0.108502771406092,0,0,18.3679332715477,91.5250787009994,PKM;JAK1,1
Protein Localization To Cell-Cell Junction (GO:0150105),2/15,0.0068543417420515,0.108502771406092,0,0,18.3679332715477,91.5250787009994,LSR;JAK1,1
Regulation Of Amyloid-Beta Clearance (GO:1900221),2/15,0.0068543417420515,0.108502771406092,0,0,18.3679332715477,91.5250787009994,HDAC1;CLU,1
Bicellular Tight Junction Assembly (GO:0070830),3/47,0.00720081372699984,0.111354016953556,0,0,8.17685950413223,40.3410371284725,CLDN10;CLDN3;RAB13,1
Ras Protein Signal Transduction (GO:0007265),5/144,0.007429290057344,0.111354016953556,0,0,4.34589751511674,21.3050019299559,NCKAP1;ARHGAP1;ARHGAP29;TP53;RHOB,1
Defense Response To Bacterium (GO:0042742),6/204,0.0076327526025266,0.111354016953556,0,0,3.67265245043023,17.9053072388541,RNF213;SLPI;LCN2;HMGB2;S100A9;LTF,1
Negative Regulation Of Gene Expression (GO:0010629),8/336,0.00763818114904216,0.111354016953556,0,0,2.97317073170732,14.4930054831021,BTG2;CLDN3;DAPK1;HDAC1;ERP29;FLOT2;PUM1;ZFP36L2,1
Negative Regulation Of Apoptotic Process (GO:0043066),10/482,0.00770156217313697,0.111354016953556,0,0,2.59600944003433,12.6330440467639,BABAM2;HDAC1;ANXA5;ERBB2;PRKCA;SOD2;CLU;TP53;FSTL1;LTF,1
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902254),2/16,0.00779056187034388,0.111354016953556,0,0,17.0550774526678,82.7997113543851,MUC1;PTTG1IP,1
Ruffle Organization (GO:0031529),2/16,0.00779056187034388,0.111354016953556,0,0,17.0550774526678,82.7997113543851,TPM1;AIF1L,1
Positive Regulation Of Stem Cell Proliferation (GO:2000648),2/16,0.00779056187034388,0.111354016953556,0,0,17.0550774526678,82.7997113543851,GJA1;EPCAM,1
Negative Regulation Of ATP-dependent Activity (GO:0032780),2/16,0.00779056187034388,0.111354016953556,0,0,17.0550774526678,82.7997113543851,TP53;LTF,1
Negative Regulation Of Amyloid-Beta Formation (GO:1902430),2/16,0.00779056187034388,0.111354016953556,0,0,17.0550774526678,82.7997113543851,CLU;RTN4,1
Negative Regulation Of Amide Metabolic Process (GO:0034249),4/93,0.00785764232535175,0.111354016953556,0,0,5.41052343107701,26.220850225573,BTG2;DAPK1;CLU;RTN4,1
Positive Regulation Of Cell Migration (GO:0030335),7/272,0.00824847252102965,0.115789878408416,0,0,3.21033634126333,15.4023181292703,CLDN3;MMP7;PRKCA;ACTN4;ACVR1B;SOD2;RTN4,1
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",2/17,0.0087809017880115,0.119871393216157,0,0,15.9172690763052,75.3710731781226,MUC1;TP53,1
Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706),2/17,0.0087809017880115,0.119871393216157,0,0,15.9172690763052,75.3710731781226,TPM1;SOD2,1
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003),2/17,0.0087809017880115,0.119871393216157,0,0,15.9172690763052,75.3710731781226,MUC1;TP53,1
Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),4/98,0.0094138581109566,0.125355880220382,0,0,5.12143227815257,23.8944131276593,VCP;CLU;TP53;WARS1,1
Rho Protein Signal Transduction (GO:0007266),3/52,0.00951963337695104,0.125355880220382,0,0,7.34063079777366,34.1662242168977,ARHGAP1;ARHGAP29;RHOB,1
Cellular Response To Ionizing Radiation (GO:0071479),3/52,0.00951963337695104,0.125355880220382,0,0,7.34063079777366,34.1662242168977,BABAM2;TP53;RHOB,1
Regulation Of Cell Development (GO:0060284),3/52,0.00951963337695104,0.125355880220382,0,0,7.34063079777366,34.1662242168977,ANXA2;HMGB2;HES1,1
Cell Junction Maintenance (GO:0034331),2/18,0.00982439735885421,0.127119158869348,0,0,14.921686746988,68.9812636324013,CLDN3;SDF4,1
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),2/18,0.00982439735885421,0.127119158869348,0,0,14.921686746988,68.9812636324013,C3;PRKCA,1
Negative Regulation Of Viral Genome Replication (GO:0045071),3/53,0.0100295635730378,0.12830559089197,0,0,7.19345454545455,33.1058473588543,IFITM1;SLPI;LTF,1
Antimicrobial Humoral Response (GO:0019730),4/100,0.0100885444451347,0.12830559089197,0,0,5.01422764227642,23.047168851594,SLPI;CXCL1;S100A9;LTF,1
Regulation Of Exocytosis (GO:0017157),3/54,0.0105551076038826,0.131983194240145,0,0,7.05204991087344,32.0949045346224,ANXA2;SEPTIN2;RAB13,1
Regulation Of Myoblast Differentiation (GO:0045661),3/54,0.0105551076038826,0.131983194240145,0,0,7.05204991087344,32.0949045346224,SMARCE1;FLOT2;ARID1A,1
Peptide Biosynthetic Process (GO:0043043),5/158,0.0108335026077782,0.132106535203011,0,0,3.94542684149324,17.8534977659928,RPL31;RPL29;RPL18;WARS1;RPL19,1
Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287),2/19,0.0109200966599263,0.132106535203011,0,0,14.0432317505315,63.4353907205545,ITGA3;FSTL1,1
Release Of Cytochrome C From Mitochondria (GO:0001836),2/19,0.0109200966599263,0.132106535203011,0,0,14.0432317505315,63.4353907205545,SOD2;CLU,1
Cortical Actin Cytoskeleton Organization (GO:0030866),2/19,0.0109200966599263,0.132106535203011,0,0,14.0432317505315,63.4353907205545,NCKAP1;RAB13,1
Response To Lipopolysaccharide (GO:0032496),5/159,0.0111113197801526,0.132337070723404,0,0,3.9196079993626,17.6374163690509,SLPI;HMGB2;CXCL1;VIM;S100A9,1
Nervous System Development (GO:0007399),9/433,0.0111170254303935,0.132337070723404,0,0,2.59095763616946,11.6574374560072,NCKAP1;ERBB2;SLC2A1;HOXB2;CXCL1;HES1;L1CAM;ACVR1B;ITM2B,1
Regulation Of Stem Cell Population Maintenance (GO:2000036),3/56,0.01165337074192,0.136537131212417,0,0,6.7852487135506,30.2090116012658,SMARCE1;HDAC1;ARID1A,1
Cellular Response To Peptide (GO:1901653),3/56,0.01165337074192,0.136537131212417,0,0,6.7852487135506,30.2090116012658,GJA1;VIM;TP53,1
Positive Regulation Of Protein Modification Process (GO:0031401),6/225,0.0119992312049033,0.139192132055942,0,0,3.31692880094707,14.6704865104272,C3;CLDN3;NNMT;ERBB2;ERP29;FAM20A,1
Positive Regulation Of Protein Processing (GO:0010954),2/20,0.012067059835495,0.139192132055942,0,0,13.2623828647925,58.5836037582424,ANXA2;ENO1,1
Endosome To Lysosome Transport (GO:0008333),3/57,0.0122262426917373,0.13994345481004,0,0,6.65925925925926,29.3285138281723,VCP;HOOK1;RHOB,1
Positive Regulation Of Translation (GO:0045727),4/108,0.0130982165543369,0.148779742235521,0,0,4.6266416510319,20.0577833106373,PKM;ERBB2;PLXNB2;VIM,1
Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031664),2/21,0.0132643589781189,0.149525501207886,0,0,12.5637285986049,54.3089107063482,PRKCA;LTF,1
Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),4/109,0.0135103694857308,0.150025595483339,0,0,4.58234610917538,19.7237821772589,VCP;DAPK1;TNFSF10;S100A9,1
Extracellular Structure Organization (GO:0043062),4/109,0.0135103694857308,0.150025595483339,0,0,4.58234610917538,19.7237821772589,MMP7;COL4A2;COL4A1;ADAMTS1,1
Response To Lipid (GO:0033993),4/110,0.0139306928145997,0.151499713340279,0,0,4.53888633225955,19.397660398629,SLPI;HMGB2;SPP1;S100A9,1
External Encapsulating Structure Organization (GO:0045229),4/110,0.0139306928145997,0.151499713340279,0,0,4.53888633225955,19.397660398629,MMP7;COL4A2;COL4A1;ADAMTS1,1
protein-DNA Complex Organization (GO:0071824),3/60,0.0140406236911735,0.151499713340279,0,0,6.30781499202552,26.907880087783,HDAC1;HMGB2;HMGN3,1
Positive Regulation Of Developmental Process (GO:0051094),6/233,0.0140503766404291,0.151499713340279,0,0,3.19872736172296,13.6429115072754,SMARCE1;GJA1;HDAC1;ARID1A;ACVR1B;RTN4,1
Brain Development (GO:0007420),5/169,0.0141611012851528,0.151595098649694,0,0,3.67873709411941,15.6613271090983,COL4A1;TUBGCP2;PLXNB2;HSPG2;RTN4,1
Positive Regulation Of Viral Life Cycle (GO:1903902),2/22,0.0145110779831343,0.153138184673077,0,0,11.9349397590361,50.5187252885131,TMPRSS4;KPNA6,1
Membrane Protein Ectodomain Proteolysis (GO:0006509),2/22,0.0145110779831343,0.153138184673077,0,0,11.9349397590361,50.5187252885131,NCSTN;MMP7,1
Negative Regulation Of Viral Process (GO:0048525),3/61,0.0146775318196613,0.153803995406028,0,0,6.1987460815047,26.1676185546296,IFITM1;SLPI;LTF,1
Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),3/62,0.015330580907863,0.159271450772101,0,0,6.09337442218798,25.4575436897655,TNFSF10;S100A9;TP53,1
Negative Regulation Of Programmed Cell Death (GO:0043069),8/381,0.0154133662037518,0.159271450772101,0,0,2.60844504021448,10.8837896487743,BABAM2;MECOM;HDAC1;ANXA5;ERBB2;TP53;FSTL1;LTF,1
Entrainment Of Circadian Clock By Photoperiod (GO:0043153),2/23,0.0158063124268222,0.162205468214562,0,0,11.3660355708549,47.1388810018912,PPP1CB;TP53,1
Regulation Of Secretion By Cell (GO:1903530),3/64,0.0166852686817438,0.170052601359143,0,0,5.8929955290611,24.1213805719092,SEPTIN2;RAB13;SAA1,1
Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),4/117,0.0171059019888415,0.171261504114066,0,0,4.25620548240881,17.3156558112546,ERBB2;ERP29;CD24;LTF,1
Photoperiodism (GO:0009648),2/24,0.0171491694307768,0.171261504114066,0,0,10.8488499452355,44.109314169124,PPP1CB;TP53,1
Iron Ion Transport (GO:0006826),2/24,0.0171491694307768,0.171261504114066,0,0,10.8488499452355,44.109314169124,ARHGAP1;LTF,1
